agency,title,description,formats,link,
Land Information New Zealand,"Harbour area (administrative) polygon (Hydro, 1:90k - 1:350k)",The area over which a harbour authority has jurisdiction.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1991,
Land Information New Zealand,"NZ Chatham Is Runway Polygons (Topo, 1:50k)",The usable surface where aircraft land and take-off Data Dictionary for runway_poly: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-runway_poly] This layer is a component of the Topo50 map series.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2015,
Land Information New Zealand,"NZ Chatham Is Building Polygons (Topo, 1:50k)",A relatively permanent walled and roofed construction.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2039,
Land Information New Zealand,"NZ Chatham Is Height Points (Topo, 1:250k)","A height above a vertical datum, represented on a map by a dot locator with the elevation printed beside the dot.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2063,
University of Otago - National School of Surveying,02 Kaikohe 15m DEM (NZSoSDEM v1.0),"NZSoSDEM v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.","['API', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2159,
Land Information New Zealand,"NZ Kermadec Is Track Centrelines (Topo, 1:25k)","A deliberately formed route of a lesser quality than a road Data Dictionary for track_cl: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-track_cl] Although captured and presented at 1:25,000 this layer, for all intents and purposes, forms part of the Topo50 map series.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2183,
Land Information New Zealand,"NZ Campbell Is Historic Site Points (Topo, 1:50k)","A place where some historic activity has been conducted, or where some historic object is located.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2207,
Land Information New Zealand,NZ Auckland Island Topo 50 Map Sheets,"Polygon for each Topo50 map sheet holding extents of each sheet, it's sheet code, name, edition, and revision statement.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2231,
Land Information New Zealand,"NZ Antipodes Island Swamp Polygons (Topo, 1:25k)","A wet or moist region with water standing on or just below the surface of the ground, and usually covered by a growth of vegetation Data Dictionary for swamp_poly: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-swamp_poly] Although captured and presented at 1:25,000 this layer, for all intents and purposes, forms part of the Topo50 map series.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2255,
Land Information New Zealand,"NZ Campbell Is Descriptive Texts (Topo, 1:50k)",Descriptive text, object used to hold text.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2279
Porirua City Council,Porirua 2009 Urban Aerial Imagery,High resolution 0.125 GSD/Resolution aerials for Porirua City Urban areas.,"['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2303,
Landcare Research,GDM Classification of New Zealand Biotic Composition for Ferns 401 groups,This layer provides a classification of New Zealand ecosystems according to fern composition.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/2327,
Landcare Research,GDM - Ferns - Underlying Data: tmintran,This layer provides a transformation of environmental layer to best predict fern compositional turnover.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/2351,
Porirua City Council,Porirua Tsumami Evacuation Zones,The tsunami evacuation zones are designed to encompass the range of inundation patterns for many individual possible tsunami.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2375,
Land Information New Zealand,"Beacon, special purpose/general points (Hydro, 1:350k - 1:1,500k)",A beacon is a prominent specially constructed object forming a conspicuous mark as a fixed aid to navigation or for use in hydrographic survey.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2495,
Land Information New Zealand,"NZ Ross Dependency Tank Points (ANT, 1:50k)",A structure used for the storage of fluids Data Dictionary for tank_pnt: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-tank_pnt] This layer is a component of the Ant50 map series.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2687,
Land Information New Zealand,"NZ Ross Dependency Cliff Edges (ANT, 1:50k)","A high, steep or overhanging face or rock.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2711,
Land Information New Zealand,ASP: MED Codes (Deprecated),"*In June 2014, LINZ moved the information from the Authoritative Streets and Places database (ASP) into Landonline and the ASP database is no longer maintained.","['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/2735,
Wellington City Council,Wellington City Council Private Sewer Pipes 2,Wellington City Council Private Sewer Pipes The water and drainage data is provided to assist in planning works that are in proximity to water and drainage infrastructure.,"['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/2759,
Land Information New Zealand,Chart NZ 5411 Tauranga Harbour Katikati Entrance to Mount Maunganui (Continuation),Raster chart image of: NZ 5411 Tauranga Harbour Katikati Entrance to Mount Maunganui (Continuation) This data was compiled for the use at the following scale: 1:40000 File reference: NZ541102 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2783,
Land Information New Zealand,Chart NZ 5411 Tauranga Harbour Katikati Entrance to Mount Maunganui,Raster chart image of: NZ 5411 Tauranga Harbour Katikati Entrance to Mount Maunganui This data was compiled for the use at the following scale: 1:40000 File reference: NZ541101 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2807,
Land Information New Zealand,Chart NZ 532 Approaches to Auckland,Raster chart image of: NZ 532 Approaches to Auckland This data was compiled for the use at the following scale: 1:100000 File reference: NZ53201 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2831,
Land Information New Zealand,Chart NZ 21 Norfolk Island to Cape Egmont,Raster chart image of: NZ 21 Norfolk Island to Cape Egmont This data was compiled for the use at the following scale: 1:1500000 File reference: NZ2101 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2855,
Land Information New Zealand,Chart NZ 6151 Plans in the Marlborough Sounds: Te Aumiti (French Pass),Raster chart image of: NZ 6151 Plans in the Marlborough Sounds: Te Aumiti (French Pass) This data was compiled for the use at the following scale: 1:10000 File reference: NZ615105 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2879,
Land Information New Zealand,Chart NZ 8655 Apia Harbour,Raster chart image of: NZ 8655 Apia Harbour This data was compiled for the use at the following scale: 1:7500 File reference: NZ865501 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2903,
Land Information New Zealand,Chart NZ 4634 Wellington Harbour Entrance and Plans of Wharves: Lambton Harbour,Raster chart image of: NZ 4634 Wellington Harbour Entrance and Plans of Wharves: Lambton Harbour This data was compiled for the use at the following scale: 1:7000 File reference: NZ463404 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2927,
Land Information New Zealand,Chart NZ 14912 Balleny Islands,Raster chart image of: NZ 14912 Balleny Islands This data was compiled for the use at the following scale: 1:300000 File reference: NZ1491201 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2951,
Land Information New Zealand,Chart NZ 14909 Cape Hooker to Coulman Island,Raster chart image of: NZ 14909 Cape Hooker to Coulman Island This data was compiled for the use at the following scale: 1:500000 File reference: NZ1490901 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2975,
Land Information New Zealand,Chart NZ 6825 Paterson Inlet / Whaka A Te Wera: Horseshoe Bay to Ulva Island,Raster chart image of: NZ 6825 Paterson Inlet / Whaka A Te Wera: Horseshoe Bay to Ulva Island This data was compiled for the use at the following scale: 1:15000 File reference: NZ682502 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2999,
Land Information New Zealand,Chart NZ 534 Mercury Bay to Katikati Entrance,Raster chart image of: NZ 534 Mercury Bay to Katikati Entrance This data was compiled for the use at the following scale: 1:100000 File reference: NZ53401 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3023,
Land Information New Zealand,Chart NZ 71 Greymouth to Kahurangi Point,Raster chart image of: NZ 71 Greymouth to Kahurangi Point This data was compiled for the use at the following scale: 1:200000 File reference: NZ7101 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3047,
Land Information New Zealand,Chart NZ 9558 Rarotonga: Avatiu Harbour,Raster chart image of: NZ 9558 Rarotonga: Avatiu Harbour This data was compiled for the use at the following scale: 1:3000 File reference: NZ955803 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3071,
Land Information New Zealand,"Seabed area polygon (Hydro, 1:1.5mil and smaller)",An area of the sea where the nature of bottom is homogeneous.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3191,
Land Information New Zealand,"Unsurveyed area polygon (Hydro, 1:1.5mil and smaller)",An area for which no bathymetric survey information is available.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3215,
Landcare Research,Mean September Soil Temperature (South Island),Soil temperature surfaces for the South Island of New Zealand are based on analysis of a combination of monthly mean soil temperature data from the NIWA (National Institute of Water and Atmospheric Research) 3 years data from 175 mini-data-loggers (1997-2000) laid out in a stratified sampling scheme at 7 climatically representative locations in the South Island.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/3263,
Landcare Research,Land Cover Database - LCDB v3.3 Change,This data set (LCDB v3.3 Change) is a mask of non temporal changes made between LCDB v3.3 and the previous version (LCDB v3.0) and temporal change between the 2001 and 2008 timesteps.,"['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/3311,
Land Information New Zealand,Manawatu Whanganui 0.4m Rural Aerial Photos Index Tiles (2010 - 2011),"Index Tiles ONLY, for actual orthophotos see layer Manawatu Whanganui 0.4m Rural Aerial Photos (2010 - 2011)[http://data.linz.govt.nz/layer/1767].","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3551,
Land Information New Zealand,Timaru 0.075m Urban Aerial Photos (2012-13),Orthophotography for the Timaru District Council taken during 2012.,"['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3575,
Land Information New Zealand,Manawatu Whanganui 0.4m Rural Aerial Photos (2010 – 2011),Orthophotography for the Manawatu-Whanganui region taken in the flying season (summer period) of 2010-2011.,"['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3599,
Land Information New Zealand,"Ice area polygon (Hydro, 1:22k - 1:90k)",An area of ice over land or water.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3671,
Land Information New Zealand,Chart NZ 885 Tokelau,Raster chart image of: NZ 885 Tokelau This data was compiled for the use at the following scale: 1:500000 File reference: NZ88501 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3719,
